book_id,title,author,description,genres,avg_rating,num_ratings,tags,combined_text
5867,"The Sword of Shannara Trilogy (Shannara, #1-3)",Terry Brooks,<no description>,Fantasy,3.94,15172,Classics Fantasy Science Fiction Young Adult,"the sword of shannara trilogy (shannara, #1-3) terry brooks fantasy classics fantasy science fiction young adult <no description>"
169,The Last Song,Nicholas Sparks,<no description>,Romance,4.14,424637,Romance Young Adult,the last song nicholas sparks romance romance young adult <no description>
2589,Certain Girls (Cannie Shapiro #2),Jennifer Weiner,<no description>,Romance,3.7,39334,Romance,certain girls (cannie shapiro #2) jennifer weiner romance romance <no description>
5906,The Vagina Monologues,"Eve Ensler, Gloria Steinem",<no description>,Non-Fiction,3.86,17935,Poetry Classics Philosophy Non-Fiction Biography,"the vagina monologues eve ensler, gloria steinem non-fiction poetry classics philosophy non-fiction biography <no description>"
9530,"The Quiche of Death (Agatha Raisin, #1)",M.C. Beaton,<no description>,Mystery,3.75,10925,Mystery Crime,"the quiche of death (agatha raisin, #1) m.c. beaton mystery mystery crime <no description>"
6385,The Masque of the Red Death,Edgar Allan Poe,<no description>,Classics,4.08,17728,Thriller Historical Poetry Classics Fantasy Horror Mystery,the masque of the red death edgar allan poe classics thriller historical poetry classics fantasy horror mystery <no description>
7825,"The Charlemagne Pursuit (Cotton Malone, #4)",Steve Berry,<no description>,Thriller,3.88,12874,Thriller Historical Crime History Mystery,"the charlemagne pursuit (cotton malone, #4) steve berry thriller thriller historical crime history mystery <no description>"
9780,Necronomicon: The Best Weird Tales,"H.P. Lovecraft, Les Edwards, Stephen Jones",<no description>,Horror,4.29,8344,Science Fiction Classics Fantasy Horror Mystery,"necronomicon: the best weird tales h.p. lovecraft, les edwards, stephen jones horror science fiction classics fantasy horror mystery <no description>"
4630,"Bare Bones (Temperance Brennan, #6)",Kathy Reichs,<no description>,Mystery,3.95,26419,Thriller Mystery Crime,"bare bones (temperance brennan, #6) kathy reichs mystery thriller mystery crime <no description>"
8561,"The Wretched of Muirwood (Legends of Muirwood, #1)",Jeff Wheeler,<no description>,Fantasy,3.97,6029,Romance Fantasy Young Adult Historical,"the wretched of muirwood (legends of muirwood, #1) jeff wheeler fantasy romance fantasy young adult historical <no description>"
9292,The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play,Neil A. Fiore,<no description>,Self Help,3.88,9396,Business Psychology Self Help Non-Fiction,the now habit: a strategic program for overcoming procrastination and enjoying guilt-free play neil a. fiore self help business psychology self help non-fiction <no description>
6875,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,"Jeff Hertzberg, Zoë François, Mark Luinenburg",<no description>,Cooking,4.11,13984,Cooking Non-Fiction,"artisan bread in five minutes a day: the discovery that revolutionizes home baking jeff hertzberg, zoë françois, mark luinenburg cooking cooking non-fiction <no description>"
6522,Black Ice,Becca Fitzpatrick,<no description>,Young Adult,3.88,17571,Romance Thriller Young Adult Fantasy Horror Crime Mystery,black ice becca fitzpatrick young adult romance thriller young adult fantasy horror crime mystery <no description>
8980,"Ghostgirl (Ghostgirl, #1)",Tonya Hurley,<no description>,Fantasy,3.28,13779,Romance Children Fantasy Young Adult Horror Mystery,"ghostgirl (ghostgirl, #1) tonya hurley fantasy romance children fantasy young adult horror mystery <no description>"
6648,The Collected Poems,Langston Hughes,<no description>,Poetry,4.32,13835,Classics History Poetry Non-Fiction,the collected poems langston hughes poetry classics history poetry non-fiction <no description>
9826,Animal-Speak: The Spiritual & Magical Powers of Creatures Great & Small,"Ted Andrews, Winston Allen, Margaret K. Andrews",<no description>,Non-Fiction,4.25,8581,Philosophy Psychology Self Help Non-Fiction,"animal-speak: the spiritual & magical powers of creatures great & small ted andrews, winston allen, margaret k. andrews non-fiction philosophy psychology self help non-fiction <no description>"
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,<no description>,Non-Fiction,3.89,348196,Psychology Business Philosophy Self Help Non-Fiction,blink: the power of thinking without thinking malcolm gladwell non-fiction psychology business philosophy self help non-fiction <no description>
5279,My Heart and Other Black Holes,Jasmine Warga,<no description>,Young Adult,4.02,22311,Romance Young Adult Psychology,my heart and other black holes jasmine warga young adult romance young adult psychology <no description>
1920,The Luminaries,Eleanor Catton,<no description>,Historical,3.7,40727,Historical Fantasy Crime History Mystery,the luminaries eleanor catton historical historical fantasy crime history mystery <no description>
719,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,<no description>,Non-Fiction,4.02,106211,Psychology Business Philosophy Self Help Non-Fiction,a new earth: awakening to your life's purpose eckhart tolle non-fiction psychology business philosophy self help non-fiction <no description>
4869,Disney's the Lion King,Don Ferguson,<no description>,Children,4.49,19553,Classics Fantasy Philosophy Children,disney's the lion king don ferguson children classics fantasy philosophy children <no description>
7835,"King (King, #1)",T.M. Frazier,<no description>,Romance,4.24,16194,Romance Mystery Crime,"king (king, #1) t.m. frazier romance romance mystery crime <no description>"
1299,Still Life with Woodpecker,Tom Robbins,<no description>,Classics,4.04,56802,Classics Fantasy Philosophy Romance,still life with woodpecker tom robbins classics classics fantasy philosophy romance <no description>
9194,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,<no description>,Children,4.19,12873,Fantasy Children,the tale of mrs. tiggy-winkle beatrix potter children fantasy children <no description>
4618,"Hell's Corner (Camel Club, #5)",David Baldacci,<no description>,Thriller,4.1,19003,Thriller Mystery Crime,"hell's corner (camel club, #5) david baldacci thriller thriller mystery crime <no description>"
3129,Switch: How to Change Things When Change Is Hard,"Chip Heath, Dan Heath",<no description>,Psychology,4.02,26820,Psychology Business Philosophy Self Help Non-Fiction,"switch: how to change things when change is hard chip heath, dan heath psychology psychology business philosophy self help non-fiction <no description>"
9796,"A Kiss for Little Bear (An I Can Read Book) by Minarik, Else Holmelund [1984]","Else Holmelund Minarik, Maurice Sendak",<no description>,Children,4.31,11063,Classics Fantasy Children,"a kiss for little bear (an i can read book) by minarik, else holmelund [1984] else holmelund minarik, maurice sendak children classics fantasy children <no description>"
3980,"The Redemption of Callie & Kayden (The Coincidence, #2)",Jessica Sorensen,<no description>,Romance,4.11,38452,Romance Young Adult,"the redemption of callie & kayden (the coincidence, #2) jessica sorensen romance romance young adult <no description>"
9925,"City of Masks (Stravaganza, #1)",Mary Hoffman,<no description>,Fantasy,3.9,12048,Romance Science Fiction Historical Children Fantasy Young Adult History Mystery,"city of masks (stravaganza, #1) mary hoffman fantasy romance science fiction historical children fantasy young adult history mystery <no description>"
8318,"The Secret Speech (Leo Demidov, #2)",Tom Rob Smith,<no description>,Historical,3.78,9880,Thriller Historical Horror Crime History Mystery,"the secret speech (leo demidov, #2) tom rob smith historical thriller historical horror crime history mystery <no description>"
4394,"Heat: An Amateur's Adventures as Kitchen Slave, Line Cook, Pasta-Maker, and Apprentice to a Dante-Quoting Butcher in Tuscany",Bill Buford,<no description>,Non-Fiction,3.89,18583,Travel Non-Fiction Cooking Biography,"heat: an amateur's adventures as kitchen slave, line cook, pasta-maker, and apprentice to a dante-quoting butcher in tuscany bill buford non-fiction travel non-fiction cooking biography <no description>"
1288,The Long Walk,"Richard Bachman, Stephen King",<no description>,Thriller,4.11,71775,Thriller Science Fiction Fantasy Young Adult Horror Mystery,"the long walk richard bachman, stephen king thriller thriller science fiction fantasy young adult horror mystery <no description>"
4356,The Paradox of Choice: Why More Is Less,Barry Schwartz,<no description>,Non-Fiction,3.84,20990,Psychology Business Philosophy Self Help Non-Fiction,the paradox of choice: why more is less barry schwartz non-fiction psychology business philosophy self help non-fiction <no description>
7014,"Preacher, Volume 8: All Hell's a-Coming","Garth Ennis, Steve Dillon, John McCrea",<no description>,Comics,4.33,14300,Thriller Graphic Novels Comics Fantasy Crime Horror,"preacher, volume 8: all hell's a-coming garth ennis, steve dillon, john mccrea comics thriller graphic novels comics fantasy crime horror <no description>"
3886,"The Cay (The Cay, #1)",Theodore Taylor,<no description>,Young Adult,3.74,25832,Children Historical Classics Young Adult History,"the cay (the cay, #1) theodore taylor young adult children historical classics young adult history <no description>"
5750,Subterranean,James Rollins,<no description>,Thriller,4.01,17425,Thriller Science Fiction Historical Fantasy Horror Mystery,subterranean james rollins thriller thriller science fiction historical fantasy horror mystery <no description>
9170,"Between, Georgia",Joshilyn Jackson,<no description>,Historical,3.87,11098,Romance Mystery Historical,"between, georgia joshilyn jackson historical romance mystery historical <no description>"
2408,"Love Story (Love Story, #1)",Erich Segal,<no description>,Romance,3.6,41177,Romance Young Adult Classics,"love story (love story, #1) erich segal romance romance young adult classics <no description>"
2014,"When the Bough Breaks (Alex Delaware, #1)",Jonathan Kellerman,<no description>,Mystery,4.02,48860,Thriller Mystery Crime Psychology,"when the bough breaks (alex delaware, #1) jonathan kellerman mystery thriller mystery crime psychology <no description>"
5154,I Am Ozzy,"Ozzy Osbourne, Chris Ayres",<no description>,Biography,4.05,16922,Non-Fiction Biography,"i am ozzy ozzy osbourne, chris ayres biography non-fiction biography <no description>"
8552,"Rejoice (Redemption, #4)","Karen Kingsbury, Gary Smalley",<no description>,Romance,4.45,11013,Romance,"rejoice (redemption, #4) karen kingsbury, gary smalley romance romance <no description>"
4377,"12th of Never (Women's Murder Club, #12)","James Patterson, Maxine Paetro",<no description>,Mystery,3.99,19998,Thriller Mystery Crime Romance,"12th of never (women's murder club, #12) james patterson, maxine paetro mystery thriller mystery crime romance <no description>"
8823,"Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",Christiane Northrup,<no description>,Self Help,4.32,9867,Psychology Self Help Non-Fiction,"women's bodies, women's wisdom: creating physical and emotional health and healing christiane northrup self help psychology self help non-fiction <no description>"
4274,A Piece of Cake,Cupcake Brown,<no description>,Non-Fiction,4.15,20083,Psychology Non-Fiction Biography,a piece of cake cupcake brown non-fiction psychology non-fiction biography <no description>
5826,"In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6)",Alexander McCall Smith,<no description>,Mystery,4.07,19839,Mystery Crime,"in the company of cheerful ladies (no. 1 ladies' detective agency, #6) alexander mccall smith mystery mystery crime <no description>"
6700,"Rush Too Far (Rosemary Beach, #4; Too Far, #4)",Abbi Glines,<no description>,Romance,4.25,25432,Romance Young Adult,"rush too far (rosemary beach, #4; too far, #4) abbi glines romance romance young adult <no description>"
7244,"Blood of Dragons (Rain Wild Chronicles, #4)",Robin Hobb,<no description>,Fantasy,4.12,12165,Romance Fantasy Science Fiction Young Adult,"blood of dragons (rain wild chronicles, #4) robin hobb fantasy romance fantasy science fiction young adult <no description>"
450,"Storm Front (The Dresden Files, #1)",Jim Butcher,<no description>,Fantasy,4.02,203053,Thriller Science Fiction Fantasy Horror Crime Mystery,"storm front (the dresden files, #1) jim butcher fantasy thriller science fiction fantasy horror crime mystery <no description>"
2228,Solaris,Stanisław Lem,<no description>,Science Fiction,3.97,41249,Romance Psychology Science Fiction Classics Fantasy Philosophy Mystery,solaris stanisław lem science fiction romance psychology science fiction classics fantasy philosophy mystery <no description>
5757,"Raised by Wolves (Raised by Wolves, #1)",Jennifer Lynn Barnes,<no description>,Young Adult,3.94,24936,Romance Mystery Young Adult Fantasy,"raised by wolves (raised by wolves, #1) jennifer lynn barnes young adult romance mystery young adult fantasy <no description>"
811,The Good Girl,Mary Kubica,<no description>,Mystery,3.81,100936,Thriller Mystery Crime Romance,the good girl mary kubica mystery thriller mystery crime romance <no description>
4181,"Green Mars (Mars Trilogy, #2)",Kim Stanley Robinson,<no description>,Science Fiction,3.91,24627,Philosophy Fantasy Science Fiction,"green mars (mars trilogy, #2) kim stanley robinson science fiction philosophy fantasy science fiction <no description>"
9001,Going Rogue: An American Life,"Sarah Palin, Lynn Vincent, Dewey Whetsell",<no description>,Biography,3.28,10392,History Non-Fiction Biography,"going rogue: an american life sarah palin, lynn vincent, dewey whetsell biography history non-fiction biography <no description>"
5439,Don't Panic: The Official Hitchhiker's Guide to the Galaxy Companion,Neil Gaiman,<no description>,Non-Fiction,4.31,18015,Science Fiction Classics Fantasy History Non-Fiction Biography,don't panic: the official hitchhiker's guide to the galaxy companion neil gaiman non-fiction science fiction classics fantasy history non-fiction biography <no description>
7534,Prophet,Frank E. Peretti,<no description>,Thriller,3.92,11708,Thriller Fantasy Mystery Horror,prophet frank e. peretti thriller thriller fantasy mystery horror <no description>
6370,"Beautiful Sacrifice (The Maddox Brothers, #3)",Jamie McGuire,<no description>,Romance,4.08,21020,Romance Young Adult,"beautiful sacrifice (the maddox brothers, #3) jamie mcguire romance romance young adult <no description>"
8417,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius and Betrayal",Ben Mezrich,<no description>,Non-Fiction,3.5,9400,Business History Non-Fiction Biography,"the accidental billionaires: the founding of facebook, a tale of sex, money, genius and betrayal ben mezrich non-fiction business history non-fiction biography <no description>"
1478,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,<no description>,Children,4.12,72504,Classics Children,"caps for sale: a tale of a peddler, some monkeys and their monkey business esphyr slobodkina children classics children <no description>"
1791,"Austenland (Austenland, #1)",Shannon Hale,<no description>,Romance,3.54,66400,Romance Historical Classics Young Adult Fantasy,"austenland (austenland, #1) shannon hale romance romance historical classics young adult fantasy <no description>"
2009,"Brother Odd (Odd Thomas, #3)",Dean Koontz,<no description>,Horror,3.98,48400,Thriller Science Fiction Fantasy Horror Crime Mystery,"brother odd (odd thomas, #3) dean koontz horror thriller science fiction fantasy horror crime mystery <no description>"
683,A Bend in the Road,Nicholas Sparks,<no description>,Romance,4.02,116800,Romance Mystery Young Adult,a bend in the road nicholas sparks romance romance mystery young adult <no description>
2817,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,<no description>,Science Fiction,3.89,34822,Classics Fantasy Science Fiction Philosophy,chapterhouse: dune (dune chronicles #6) frank herbert science fiction classics fantasy science fiction philosophy <no description>
9432,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,"Neil Postman, Andrew Postman",<no description>,Non-Fiction,4.14,9736,Psychology Business Classics Philosophy History Non-Fiction,"amusing ourselves to death: public discourse in the age of show business neil postman, andrew postman non-fiction psychology business classics philosophy history non-fiction <no description>"
3775,"A Game of Thrones / A Clash of Kings (A Song of Ice and Fire, #1-2)",George R.R. Martin,<no description>,Fantasy,4.53,22259,Fantasy Mystery Science Fiction Historical,"a game of thrones / a clash of kings (a song of ice and fire, #1-2) george r.r. martin fantasy fantasy mystery science fiction historical <no description>"
6496,"The Angel of Darkness (Dr. Laszlo Kreizler, #2)",Caleb Carr,<no description>,Mystery,3.94,16343,Thriller Psychology Historical Fantasy Horror Crime History Mystery,"the angel of darkness (dr. laszlo kreizler, #2) caleb carr mystery thriller psychology historical fantasy horror crime history mystery <no description>"
8879,Wiseguy,Nicholas Pileggi,<no description>,Non-Fiction,4.14,8715,Thriller Historical Classics Crime History Mystery Non-Fiction Biography,wiseguy nicholas pileggi non-fiction thriller historical classics crime history mystery non-fiction biography <no description>
7362,Everything Leads to You,Nina LaCour,<no description>,Young Adult,3.89,17583,Romance Young Adult Mystery,everything leads to you nina lacour young adult romance young adult mystery <no description>
8367,Embroideries,"Marjane Satrapi, Anjali Singh",<no description>,Graphic Novels,3.82,11879,Romance Graphic Novels Comics History Non-Fiction Biography,"embroideries marjane satrapi, anjali singh graphic novels romance graphic novels comics history non-fiction biography <no description>"
7475,"Eleventh Grade Burns (The Chronicles of Vladimir Tod, #4)",Heather Brewer,<no description>,Young Adult,4.31,14758,Romance Young Adult Fantasy Horror Mystery,"eleventh grade burns (the chronicles of vladimir tod, #4) heather brewer young adult romance young adult fantasy horror mystery <no description>"
47,The Book Thief,Markus Zusak,<no description>,Historical,4.36,1159741,Historical Classics Young Adult Fantasy History,the book thief markus zusak historical historical classics young adult fantasy history <no description>
31,The Help,Kathryn Stockett,<no description>,Historical,4.45,1531753,Classics History Young Adult Historical,the help kathryn stockett historical classics history young adult historical <no description>
8251,"Starlight (Warriors: The New Prophecy, #4)",Erin Hunter,<no description>,Fantasy,4.28,15719,Romance Children Fantasy Young Adult Mystery,"starlight (warriors: the new prophecy, #4) erin hunter fantasy romance children fantasy young adult mystery <no description>"
6936,"Stolen Prey (Lucas Davenport, #22)",John Sandford,<no description>,Mystery,4.17,13426,Thriller Mystery Crime,"stolen prey (lucas davenport, #22) john sandford mystery thriller mystery crime <no description>"
1469,Amelia Bedelia  (Amelia Bedelia #1),"Peggy Parish, Fritz Siebel",<no description>,Children,4.15,72329,Classics Young Adult Children,"amelia bedelia  (amelia bedelia #1) peggy parish, fritz siebel children classics young adult children <no description>"
1666,Shakespeare's Sonnets,"William Shakespeare, Katherine Duncan-Jones",<no description>,Poetry,4.24,58291,Classics Poetry Non-Fiction Romance,"shakespeare's sonnets william shakespeare, katherine duncan-jones poetry classics poetry non-fiction romance <no description>"
1417,Chasing Harry Winston,Lauren Weisberger,<no description>,Romance,3.32,63342,Romance,chasing harry winston lauren weisberger romance romance <no description>
6481,Arcadia,Tom Stoppard,<no description>,Classics,4.19,15362,Romance Historical Poetry Classics Fantasy Philosophy History,arcadia tom stoppard classics romance historical poetry classics fantasy philosophy history <no description>
4853,The Einstein Prophecy,Robert Masello,<no description>,Historical,3.58,19019,Thriller Science Fiction Historical Fantasy Horror History Mystery,the einstein prophecy robert masello historical thriller science fiction historical fantasy horror history mystery <no description>
2471,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,<no description>,Fantasy,4.05,48381,Science Fiction Historical Fantasy Young Adult History,"his majesty's dragon (temeraire, #1) naomi novik fantasy science fiction historical fantasy young adult history <no description>"
4374,Kitchens of the Great Midwest,J. Ryan Stradal,<no description>,Cooking,3.77,21071,Cooking Non-Fiction,kitchens of the great midwest j. ryan stradal cooking cooking non-fiction <no description>
8525,Commencement,J. Courtney Sullivan,<no description>,Young Adult,3.36,12653,Romance Young Adult,commencement j. courtney sullivan young adult romance young adult <no description>
430,Kafka on the Shore,"Haruki Murakami, Philip Gabriel",<no description>,Fantasy,4.13,167593,Romance Classics Fantasy Philosophy Mystery,"kafka on the shore haruki murakami, philip gabriel fantasy romance classics fantasy philosophy mystery <no description>"
5245,"Twilight: The Graphic Novel, Vol. 2  (Twilight: The Graphic Novel, #2)","Stephenie Meyer, Young Kim",<no description>,Graphic Novels,4.26,19795,Romance Graphic Novels Comics Young Adult Fantasy,"twilight: the graphic novel, vol. 2  (twilight: the graphic novel, #2) stephenie meyer, young kim graphic novels romance graphic novels comics young adult fantasy <no description>"
2120,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael Scott,<no description>,Fantasy,4.12,46878,Science Fiction Children Historical Fantasy Young Adult,"the necromancer  (the secrets of the immortal nicholas flamel, #4) michael scott fantasy science fiction children historical fantasy young adult <no description>"
386,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",Scott O'Dell,<no description>,Young Adult,3.8,236015,Children Historical Classics Young Adult Fantasy History,"island of the blue dolphins (island of the blue dolphins, #1) scott o'dell young adult children historical classics young adult fantasy history <no description>"
1946,"Faefever (Fever, #3)",Karen Marie Moning,<no description>,Fantasy,4.34,68452,Romance Fantasy Young Adult Horror Mystery,"faefever (fever, #3) karen marie moning fantasy romance fantasy young adult horror mystery <no description>"
4225,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,<no description>,Non-Fiction,3.97,20075,Psychology Business Philosophy Self Help Non-Fiction Biography,"the art of asking; or, how i learned to stop worrying and let people help amanda palmer non-fiction psychology business philosophy self help non-fiction biography <no description>"
474,The God Delusion,Richard Dawkins,<no description>,Non-Fiction,3.89,162740,Psychology Classics Philosophy History Non-Fiction,the god delusion richard dawkins non-fiction psychology classics philosophy history non-fiction <no description>
2130,"Torn (Trylle, #2)",Amanda Hocking,<no description>,Fantasy,4.04,29554,Romance Fantasy Young Adult,"torn (trylle, #2) amanda hocking fantasy romance fantasy young adult <no description>"
6557,The Talisman (Volume 1): The Road of Trials,"Robin Furth, Stephen King, Peter Straub, Tony Shasteen, Nei Ruffino",<no description>,Graphic Novels,4.34,12413,Graphic Novels Horror Fantasy Comics,"the talisman (volume 1): the road of trials robin furth, stephen king, peter straub, tony shasteen, nei ruffino graphic novels graphic novels horror fantasy comics <no description>"
6999,Brighton Rock,"Graham Greene, J.M. Coetzee",<no description>,Classics,3.72,13871,Thriller Historical Classics Crime Mystery,"brighton rock graham greene, j.m. coetzee classics thriller historical classics crime mystery <no description>"
1056,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,<no description>,Horror,3.86,82535,Science Fiction Fantasy Young Adult Horror Self Help Non-Fiction,the zombie survival guide: complete protection from the living dead max brooks horror science fiction fantasy young adult horror self help non-fiction <no description>
3275,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPré",<no description>,Fantasy,4.77,33220,Thriller Science Fiction Children Classics Fantasy Young Adult Mystery,"harry potter boxed set, books 1-5 (harry potter, #1-5) j.k. rowling, mary grandpré fantasy thriller science fiction children classics fantasy young adult mystery <no description>"
4962,The Zombie Room,R.D. Ronald,<no description>,Thriller,3.61,14302,Thriller Psychology Science Fiction Young Adult Horror Crime Mystery,the zombie room r.d. ronald thriller thriller psychology science fiction young adult horror crime mystery <no description>
5364,Mao's Last Dancer,Li Cunxin,<no description>,Non-Fiction,4.12,16340,Historical Young Adult Travel History Non-Fiction Biography,mao's last dancer li cunxin non-fiction historical young adult travel history non-fiction biography <no description>
5817,"Shopaholic to the Stars (Shopaholic, #7)",Sophie Kinsella,<no description>,Romance,3.24,15414,Romance,"shopaholic to the stars (shopaholic, #7) sophie kinsella romance romance <no description>"
812,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines,<no description>,Romance,4.21,138871,Romance Young Adult,"fallen too far (rosemary beach, #1; too far, #1) abbi glines romance romance young adult <no description>"
4574,"Y: The Last Man, Vol. 3: One Small Step (Y: The Last Man, #3)","Brian K. Vaughan, Pia Guerra, José Marzán Jr., Paul Chadwick",<no description>,Graphic Novels,4.22,24954,Thriller Science Fiction Graphic Novels Fantasy Horror,"y: the last man, vol. 3: one small step (y: the last man, #3) brian k. vaughan, pia guerra, josé marzán jr., paul chadwick graphic novels thriller science fiction graphic novels fantasy horror <no description>"
6138,The Hidden Staircase (Nancy Drew #2),"Carolyn Keene, Mildred Benson",<no description>,Mystery,3.94,24872,Children Classics Young Adult Crime Mystery,"the hidden staircase (nancy drew #2) carolyn keene, mildred benson mystery children classics young adult crime mystery <no description>"
2389,"Scorpia (Alex Rider, #5)",Anthony Horowitz,<no description>,Young Adult,4.16,44197,Thriller Science Fiction Children Young Adult Fantasy Crime Mystery,"scorpia (alex rider, #5) anthony horowitz young adult thriller science fiction children young adult fantasy crime mystery <no description>"
9649,Ethics,"Baruch Spinoza, Edwin M. Curley, Stuart Hampshire, Edwin Curley",<no description>,Philosophy,4.01,9342,Psychology Classics Philosophy History Non-Fiction,"ethics baruch spinoza, edwin m. curley, stuart hampshire, edwin curley philosophy psychology classics philosophy history non-fiction <no description>"
6226,"Winger (Winger, #1)",Andrew  Smith,<no description>,Young Adult,4.08,18596,Romance Young Adult,"winger (winger, #1) andrew  smith young adult romance young adult <no description>"
112,"Me Before You (Me Before You, #1)",Jojo Moyes,<no description>,Romance,4.27,587647,Romance,"me before you (me before you, #1) jojo moyes romance romance <no description>"
8910,"Sun and Moon, Ice and Snow",Jessica Day George,<no description>,Fantasy,3.97,17095,Romance Children Fantasy Young Adult Mystery,"sun and moon, ice and snow jessica day george fantasy romance children fantasy young adult mystery <no description>"
1746,Hide and Seek,James Patterson,<no description>,Mystery,4.1,53038,Thriller Mystery Crime Romance,hide and seek james patterson mystery thriller mystery crime romance <no description>
7852,The Holiness of God,R.C. Sproul,<no description>,Non-Fiction,4.35,10960,Classics Non-Fiction,the holiness of god r.c. sproul non-fiction classics non-fiction <no description>
1453,"Everything, Everything","Nicola Yoon, David Yoon",<no description>,Young Adult,4.11,132552,Romance Young Adult,"everything, everything nicola yoon, david yoon young adult romance young adult <no description>"
320,"Where'd You Go, Bernadette",Maria Semple,<no description>,Mystery,3.9,215453,Mystery Young Adult Travel,"where'd you go, bernadette maria semple mystery mystery young adult travel <no description>"
8594,"Shadows in Flight (Ender's Shadow, #5)",Orson Scott Card,<no description>,Science Fiction,3.76,11464,Fantasy Science Fiction Young Adult,"shadows in flight (ender's shadow, #5) orson scott card science fiction fantasy science fiction young adult <no description>"
3334,The Marriage of Opposites,Alice Hoffman,<no description>,Historical,3.86,29179,Romance History Historical Biography,the marriage of opposites alice hoffman historical romance history historical biography <no description>
1923,Barrel Fever: Stories and Essays,David Sedaris,<no description>,Non-Fiction,3.78,44679,Non-Fiction Biography,barrel fever: stories and essays david sedaris non-fiction non-fiction biography <no description>
5866,"Before Jamaica Lane (On Dublin Street, #3)",Samantha Young,<no description>,Young Adult,4.35,13447,Romance Young Adult,"before jamaica lane (on dublin street, #3) samantha young young adult romance young adult <no description>"
9529,EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches,Dave Ramsey,<no description>,Business,4.19,8333,Business Self Help Non-Fiction Biography,entreleadership: 20 years of practical business wisdom from the trenches dave ramsey business business self help non-fiction biography <no description>
3686,Remarkable Creatures,Tracy Chevalier,<no description>,Historical,3.81,29667,History Non-Fiction Historical Biography,remarkable creatures tracy chevalier historical history non-fiction historical biography <no description>
4276,"Brimstone (Pendergast, #5; Diogenes, #1)","Douglas Preston, Lincoln Child",<no description>,Horror,4.12,24949,Thriller Science Fiction Fantasy Crime Horror Mystery,"brimstone (pendergast, #5; diogenes, #1) douglas preston, lincoln child horror thriller science fiction fantasy crime horror mystery <no description>"
