book_id,title,author,description,genres,avg_rating,num_ratings,tags,combined_text
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,<no description>,Thriller,3.79,1447148,Thriller Romance Science Fiction Historical Classics Fantasy History Mystery,"the da vinci code (robert langdon, #2) dan brown thriller thriller romance science fiction historical classics fantasy history mystery <no description>"
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",<no description>,Fantasy,4.54,1678823,Romance Children Classics Fantasy Young Adult Mystery,"harry potter and the half-blood prince (harry potter, #6) j.k. rowling, mary grandpré fantasy romance children classics fantasy young adult mystery <no description>"
28,Lord of the Flies,William Golding,<no description>,Classics,3.64,1605019,Thriller Psychology Science Fiction Historical Children Classics Young Adult Fantasy Philosophy Horror,lord of the flies william golding classics thriller psychology science fiction historical children classics young adult fantasy philosophy horror <no description>
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",<no description>,Classics,3.73,1628519,Romance Historical Poetry Classics Young Adult,"romeo and juliet william shakespeare, robert           jackson classics romance historical poetry classics young adult <no description>"
30,Gone Girl,Gillian Flynn,<no description>,Mystery,4.03,512475,Thriller Mystery Crime Romance,gone girl gillian flynn mystery thriller mystery crime romance <no description>
31,The Help,Kathryn Stockett,<no description>,Historical,4.45,1531753,Classics History Young Adult Historical,the help kathryn stockett historical classics history young adult historical <no description>
32,Of Mice and Men,John Steinbeck,<no description>,Classics,3.84,1467496,Classics Young Adult Historical,of mice and men john steinbeck classics classics young adult historical <no description>
33,Memoirs of a Geisha,Arthur Golden,<no description>,Historical,4.08,1300209,Romance Historical Classics History Non-Fiction Biography,memoirs of a geisha arthur golden historical romance historical classics history non-fiction biography <no description>
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,<no description>,Romance,3.67,1338493,Romance Young Adult,"fifty shades of grey (fifty shades, #1) e.l. james romance romance young adult <no description>"
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",<no description>,Classics,3.82,1299566,Romance Historical Classics Fantasy Travel Young Adult Philosophy Self Help Non-Fiction,"the alchemist paulo coelho, alan r. clarke classics romance historical classics fantasy travel young adult philosophy self help non-fiction <no description>"
36,"The Giver (The Giver, #1)",Lois Lowry,<no description>,Children,4.12,1296825,Science Fiction Children Classics Young Adult Fantasy Philosophy,"the giver (the giver, #1) lois lowry children science fiction children classics young adult fantasy philosophy <no description>"
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,<no description>,Fantasy,4.19,1531800,Science Fiction Children Classics Fantasy Young Adult,"the lion, the witch, and the wardrobe (chronicles of narnia, #1) c.s. lewis fantasy science fiction children classics fantasy young adult <no description>"
38,The Time Traveler's Wife,Audrey Niffenegger,<no description>,Romance,3.95,746287,Romance Science Fiction Historical Classics Fantasy Travel,the time traveler's wife audrey niffenegger romance romance science fiction historical classics fantasy travel <no description>
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,<no description>,Fantasy,4.45,1319204,Romance Science Fiction Historical Classics Fantasy,"a game of thrones (a song of ice and fire, #1) george r.r. martin fantasy romance science fiction historical classics fantasy <no description>"
40,"Eat, Pray, Love",Elizabeth Gilbert,<no description>,Non-Fiction,3.51,1181647,Romance Travel Philosophy Self Help Non-Fiction Biography,"eat, pray, love elizabeth gilbert non-fiction romance travel philosophy self help non-fiction biography <no description>"
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,<no description>,Fantasy,4.23,1366265,Fantasy Mystery Young Adult Children,"the lightning thief (percy jackson and the olympians, #1) rick riordan fantasy fantasy mystery young adult children <no description>"
42,"Little Women (Little Women, #1)",Louisa May Alcott,<no description>,Classics,4.04,1257121,Romance Children Historical Classics Young Adult History,"little women (little women, #1) louisa may alcott classics romance children historical classics young adult history <no description>"
43,Jane Eyre,"Charlotte Brontë, Michael Mason",<no description>,Mystery,4.1,1198557,Romance History Mystery Young Adult,"jane eyre charlotte brontë, michael mason mystery romance history mystery young adult <no description>"
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,<no description>,Romance,4.06,1053403,Romance Young Adult Classics Historical,"the notebook (the notebook, #1) nicholas sparks romance romance young adult classics historical <no description>"
45,Life of Pi,Yann Martel,<no description>,Fantasy,3.88,1003228,Classics Fantasy Young Adult Travel Philosophy,life of pi yann martel fantasy classics fantasy young adult travel philosophy <no description>
46,Water for Elephants,Sara Gruen,<no description>,Historical,4.07,1068146,Romance Historical Classics Young Adult History,water for elephants sara gruen historical romance historical classics young adult history <no description>
47,The Book Thief,Markus Zusak,<no description>,Historical,4.36,1159741,Historical Classics Young Adult Fantasy History,the book thief markus zusak historical historical classics young adult fantasy history <no description>
48,Fahrenheit 451,Ray Bradbury,<no description>,Classics,3.97,570498,Science Fiction Classics Fantasy Young Adult Philosophy,fahrenheit 451 ray bradbury classics science fiction classics fantasy young adult philosophy <no description>
49,"New Moon (Twilight, #2)",Stephenie Meyer,<no description>,Young Adult,3.52,1149630,Romance Science Fiction Young Adult Fantasy Horror,"new moon (twilight, #2) stephenie meyer young adult romance science fiction young adult fantasy horror <no description>"
50,Where the Sidewalk Ends,Shel Silverstein,<no description>,Poetry,4.29,1016888,Children Poetry Classics Fantasy Young Adult Non-Fiction,where the sidewalk ends shel silverstein poetry children poetry classics fantasy young adult non-fiction <no description>
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,<no description>,Young Adult,4.12,1154031,Romance Science Fiction Young Adult Fantasy Mystery,"city of bones (the mortal instruments, #1) cassandra clare young adult romance science fiction young adult fantasy mystery <no description>"
52,"Eclipse (Twilight, #3)",Stephenie Meyer,<no description>,Young Adult,3.69,1134511,Romance Science Fiction Young Adult Fantasy Horror,"eclipse (twilight, #3) stephenie meyer young adult romance science fiction young adult fantasy horror <no description>"
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,<no description>,Fantasy,3.86,1104021,Romance Science Fiction Children Fantasy Young Adult,"eragon (the inheritance cycle, #1) christopher paolini fantasy romance science fiction children fantasy young adult <no description>"
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,<no description>,Science Fiction,4.2,936782,Classics Fantasy Science Fiction Young Adult,"the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy, #1) douglas adams science fiction classics fantasy science fiction young adult <no description>"
55,Brave New World,Aldous Huxley,<no description>,Classics,3.97,1022601,Science Fiction Classics Fantasy Young Adult Philosophy,brave new world aldous huxley classics science fiction classics fantasy young adult philosophy <no description>
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,<no description>,Fantasy,3.7,1070245,Romance Fantasy Science Fiction Young Adult,"breaking dawn (twilight, #4) stephenie meyer fantasy romance fantasy science fiction young adult <no description>"
57,The Secret Life of Bees,Sue Monk Kidd,<no description>,Historical,4.01,916189,Classics Young Adult Romance Historical,the secret life of bees sue monk kidd historical classics young adult romance historical <no description>
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",<no description>,Classics,3.8,953758,Children Historical Classics Young Adult History,"the adventures of huckleberry finn mark twain, john seelye, guy cardwell classics children historical classics young adult history <no description>"
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",<no description>,Classics,4.15,1064521,Classics Young Adult Fantasy Children,"charlotte's web e.b. white, garth williams, rosemary wells classics classics young adult fantasy children <no description>"
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,<no description>,Young Adult,3.85,867553,Psychology Classics Young Adult Crime Mystery,the curious incident of the dog in the night-time mark haddon young adult psychology classics young adult crime mystery <no description>
61,The Girl on the Train,Paula Hawkins,<no description>,Mystery,3.88,1008778,Thriller Mystery Crime,the girl on the train paula hawkins mystery thriller mystery crime <no description>
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,<no description>,Fantasy,3.94,953970,Science Fiction Children Classics Fantasy Young Adult Mystery,"the golden compass (his dark materials, #1) philip pullman fantasy science fiction children classics fantasy young adult mystery <no description>"
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",<no description>,Classics,3.82,899195,Classics Historical Romance,"wuthering heights emily brontë, richard j. dunn classics classics historical romance <no description>"
64,My Sister's Keeper,Jodi Picoult,<no description>,Young Adult,4.06,863879,Romance Young Adult,my sister's keeper jodi picoult young adult romance young adult <no description>
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,<no description>,Classics,4.06,846488,Science Fiction Historical Classics Fantasy Philosophy History,slaughterhouse-five kurt vonnegut jr. classics science fiction historical classics fantasy philosophy history <no description>
66,Gone with the Wind,Margaret Mitchell,<no description>,Classics,4.28,873981,Classics History Romance Historical,gone with the wind margaret mitchell classics classics history romance historical <no description>
67,A Thousand Splendid Suns,Khaled Hosseini,<no description>,Historical,4.34,818742,Romance Historical Classics Young Adult History Non-Fiction,a thousand splendid suns khaled hosseini historical romance historical classics young adult history non-fiction <no description>
68,The Perks of Being a Wallflower,Stephen Chbosky,<no description>,Classics,4.21,888806,Classics Young Adult,the perks of being a wallflower stephen chbosky classics classics young adult <no description>
69,"Insurgent (Divergent, #2)",Veronica Roth,<no description>,Young Adult,4.07,836362,Romance Young Adult Fantasy Science Fiction,"insurgent (divergent, #2) veronica roth young adult romance young adult fantasy science fiction <no description>"
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,<no description>,Science Fiction,4.3,813439,Science Fiction Children Classics Young Adult Fantasy,"ender's game (ender's saga, #1) orson scott card science fiction science fiction children classics young adult fantasy <no description>"
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",<no description>,Classics,3.75,808589,Thriller Science Fiction Historical Classics Fantasy Horror Mystery,"frankenstein mary wollstonecraft shelley, percy bysshe shelley, maurice hindle classics thriller science fiction historical classics fantasy horror mystery <no description>"
72,The Shining (The Shining #1),Stephen King,<no description>,Fantasy,4.17,791850,Fantasy Mystery Science Fiction,the shining (the shining #1) stephen king fantasy fantasy mystery science fiction <no description>
73,"The Host (The Host, #1)",Stephenie Meyer,<no description>,Science Fiction,3.84,749780,Romance Thriller Science Fiction Young Adult Fantasy,"the host (the host, #1) stephenie meyer science fiction romance thriller science fiction young adult fantasy <no description>"
74,Looking for Alaska,John Green,<no description>,Young Adult,4.09,783470,Romance Young Adult Mystery,looking for alaska john green young adult romance young adult mystery <no description>
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,<no description>,Romance,3.75,736498,Romance Classics,"bridget jones's diary (bridget jones, #1) helen fielding romance romance classics <no description>"
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",<no description>,Historical,4.06,738894,History Historical,"sense and sensibility jane austen, tony tanner, ros ballaster historical history historical <no description>"
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",<no description>,Young Adult,3.93,747445,Children Classics Young Adult Fantasy Crime Mystery,"holes (holes, #1) louis sachar, louis sachar young adult children classics young adult fantasy crime mystery <no description>"
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,<no description>,Romance,3.7,665930,Romance Young Adult Classics,"the devil wears prada (the devil wears prada, #1) lauren weisberger romance romance young adult classics <no description>"
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",<no description>,Classics,3.73,670326,Historical Poetry Classics Fantasy Travel Philosophy History Non-Fiction,"the odyssey homer, robert fagles, e.v. rieu, frédéric mugler, bernard knox classics historical poetry classics fantasy travel philosophy history non-fiction <no description>"
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",<no description>,Fantasy,4.28,738757,Science Fiction Children Classics Fantasy Young Adult Philosophy,"the little prince antoine de saint-exupéry, richard howard, dom marcos barbosa, melina karakosta fantasy science fiction children classics fantasy young adult philosophy <no description>"
81,The Glass Castle,Jeannette Walls,<no description>,Non-Fiction,4.24,621099,Psychology Classics Young Adult Non-Fiction Biography,the glass castle jeannette walls non-fiction psychology classics young adult non-fiction biography <no description>
82,Into the Wild,Jon Krakauer,<no description>,Non-Fiction,3.94,647684,Classics Travel Young Adult Philosophy History Non-Fiction Biography,into the wild jon krakauer non-fiction classics travel young adult philosophy history non-fiction biography <no description>
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",<no description>,Classics,3.81,637412,Romance Historical Classics Young Adult History,"a tale of two cities charles dickens, richard maxwell, hablot knight browne classics romance historical classics young adult history <no description>"
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,<no description>,Science Fiction,3.96,447833,Thriller Science Fiction Classics Fantasy Young Adult Horror Mystery,"jurassic park (jurassic park, #1) michael crichton science fiction thriller science fiction classics fantasy young adult horror mystery <no description>"
85,The Giving Tree,Shel Silverstein,<no description>,Children,4.38,702332,Children Poetry Classics Fantasy Young Adult Philosophy,the giving tree shel silverstein children children poetry classics fantasy young adult philosophy <no description>
86,A Time to Kill,John Grisham,<no description>,Mystery,4.03,597775,Thriller Historical Classics Crime Mystery,a time to kill john grisham mystery thriller historical classics crime mystery <no description>
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",<no description>,Non-Fiction,4.3,691231,Historical Classics Young Adult Philosophy History Horror Non-Fiction Biography,"night (the night trilogy #1) elie wiesel, marion wiesel non-fiction historical classics young adult philosophy history horror non-fiction biography <no description>"
88,Paper Towns,John Green,<no description>,Young Adult,3.88,461311,Romance Young Adult Mystery,paper towns john green young adult romance young adult mystery <no description>
89,The Princess Bride,William Goldman,<no description>,Historical,4.25,628637,Children Science Fiction Historical,the princess bride william goldman historical children science fiction historical <no description>
90,The Outsiders,S.E. Hinton,<no description>,Classics,4.06,659248,Children Historical Classics Young Adult Crime,the outsiders s.e. hinton classics children historical classics young adult crime <no description>
91,"The Maze Runner (Maze Runner, #1)",James Dashner,<no description>,Young Adult,4.02,719925,Thriller Romance Science Fiction Young Adult Fantasy Mystery,"the maze runner (maze runner, #1) james dashner young adult thriller romance science fiction young adult fantasy mystery <no description>"
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",<no description>,Non-Fiction,3.93,524191,Psychology Business Philosophy History Self Help Non-Fiction,"freakonomics: a rogue economist explores the hidden side of everything (freakonomics, #1) steven d. levitt, stephen j. dubner non-fiction psychology business philosophy history self help non-fiction <no description>"
93,The Secret Garden,Frances Hodgson Burnett,<no description>,Classics,4.12,639357,Historical Children Classics Young Adult Fantasy Mystery,the secret garden frances hodgson burnett classics historical children classics young adult fantasy mystery <no description>
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",<no description>,Classics,4.04,490565,Classics Romance,"one hundred years of solitude gabriel garcía márquez, gregory rabassa classics classics romance <no description>"
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",<no description>,Classics,4.06,590014,Historical Classics Fantasy Horror Philosophy Mystery,"the picture of dorian gray oscar wilde, jeffrey eugenides classics historical classics fantasy horror philosophy mystery <no description>"
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,<no description>,Romance,3.88,387290,Romance Fantasy,"fifty shades freed (fifty shades, #3) e.l. james romance romance fantasy <no description>"
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",<no description>,Classics,3.98,618973,Thriller Romance Science Fiction Historical Classics Fantasy Horror Mystery,"dracula bram stoker, nina auerbach, david j. skal classics thriller romance science fiction historical classics fantasy horror mystery <no description>"
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",<no description>,Mystery,4.22,563994,Thriller Mystery Crime,"the girl who played with fire (millennium, #2) stieg larsson, reg keeland mystery thriller mystery crime <no description>"
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,<no description>,Romance,3.87,552059,Romance Young Adult,"fifty shades darker (fifty shades, #2) e.l. james romance romance young adult <no description>"
100,The Poisonwood Bible,Barbara Kingsolver,<no description>,Historical,4.02,546502,Classics History Travel Historical,the poisonwood bible barbara kingsolver historical classics history travel historical <no description>
101,Me Talk Pretty One Day,David Sedaris,<no description>,Non-Fiction,3.97,495736,Non-Fiction Biography,me talk pretty one day david sedaris non-fiction non-fiction biography <no description>
102,Where the Wild Things Are,Maurice Sendak,<no description>,Children,4.22,620618,Classics Fantasy Young Adult Children,where the wild things are maurice sendak children classics fantasy young adult children <no description>
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",<no description>,Classics,4.21,555822,Romance Thriller Historical Classics Fantasy Crime History Mystery,"the count of monte cristo alexandre dumas, robin buss classics romance thriller historical classics fantasy crime history mystery <no description>"
104,The Road,Cormac McCarthy,<no description>,Science Fiction,3.95,504793,Thriller Science Fiction Classics Fantasy Horror,the road cormac mccarthy science fiction thriller science fiction classics fantasy horror <no description>
105,"Allegiant (Divergent, #3)",Veronica Roth,<no description>,Young Adult,3.63,463257,Romance Young Adult Fantasy Science Fiction,"allegiant (divergent, #3) veronica roth young adult romance young adult fantasy science fiction <no description>"
106,Bossypants,Tina Fey,<no description>,Non-Fiction,3.94,506250,Non-Fiction Biography,bossypants tina fey non-fiction non-fiction biography <no description>
107,A Walk to Remember,Nicholas Sparks,<no description>,Romance,4.15,546948,Romance Classics Historical,a walk to remember nicholas sparks romance romance classics historical <no description>
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,<no description>,Young Adult,3.61,543658,Romance Young Adult,"confessions of a shopaholic (shopaholic, #1) sophie kinsella young adult romance young adult <no description>"
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",<no description>,Classics,4.14,513407,Classics History Romance Historical,"les misérables victor hugo, lee fahnestock, norman macafee classics classics history romance historical <no description>"
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,<no description>,Fantasy,4.4,523303,Fantasy Science Fiction Historical,"a clash of kings  (a song of ice and fire, #2) george r.r. martin fantasy fantasy science fiction historical <no description>"
111,The Memory Keeper's Daughter,Kim Edwards,<no description>,Historical,3.64,501430,Romance Historical Classics Young Adult Mystery,the memory keeper's daughter kim edwards historical romance historical classics young adult mystery <no description>
112,"Me Before You (Me Before You, #1)",Jojo Moyes,<no description>,Romance,4.27,587647,Romance,"me before you (me before you, #1) jojo moyes romance romance <no description>"
113,Catch-22,Joseph Heller,<no description>,Classics,3.98,563265,Classics History Historical,catch-22 joseph heller classics classics history historical <no description>
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",<no description>,Non-Fiction,4.06,556518,Psychology Classics Young Adult Philosophy Self Help Non-Fiction Biography,"tuesdays with morrie mitch albom, saulius dagys non-fiction psychology classics young adult philosophy self help non-fiction biography <no description>"
115,Middlesex,Jeffrey Eugenides,<no description>,Historical,3.98,488243,Classics History Historical,middlesex jeffrey eugenides historical classics history historical <no description>
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",<no description>,Classics,3.89,555359,Children Historical Classics Young Adult History,"the adventures of tom sawyer mark twain, guy cardwell, john seelye classics children historical classics young adult history <no description>"
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,<no description>,Fantasy,4.04,615907,Science Fiction Children Classics Fantasy Young Adult,"a wrinkle in time (a wrinkle in time quintet, #1) madeleine l'engle fantasy science fiction children classics fantasy young adult <no description>"
118,The Joy Luck Club,Amy Tan,<no description>,Classics,3.9,515090,Romance Historical Classics Young Adult History,the joy luck club amy tan classics romance historical classics young adult history <no description>
119,The Handmaid's Tale,Margaret Atwood,<no description>,Classics,4.06,607889,Classics Fantasy Horror Science Fiction,the handmaid's tale margaret atwood classics classics fantasy horror science fiction <no description>
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,<no description>,Young Adult,3.75,525706,Romance Young Adult Travel Children,"the sisterhood of the traveling pants (sisterhood, #1) ann brashares young adult romance young adult travel children <no description>"
121,Lolita,"Vladimir Nabokov, Craig Raine",<no description>,Classics,3.88,469836,Classics Psychology Romance Historical,"lolita vladimir nabokov, craig raine classics classics psychology romance historical <no description>"
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",<no description>,Fantasy,3.52,506900,Romance Science Fiction Classics Fantasy Young Adult,"wicked: the life and times of the wicked witch of the west (the wicked years, #1) gregory maguire, douglas smith fantasy romance science fiction classics fantasy young adult <no description>"
123,"The Firm (Penguin Readers, Level 5)",John Grisham,<no description>,Thriller,3.99,488269,Thriller Mystery Crime,"the firm (penguin readers, level 5) john grisham thriller thriller mystery crime <no description>"
124,Room,Emma Donoghue,<no description>,Crime,4.03,511360,Thriller Psychology Young Adult Horror Crime Mystery,room emma donoghue crime thriller psychology young adult horror crime mystery <no description>
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",<no description>,Classics,4.0,515820,Romance Historical Poetry Classics Fantasy,"hamlet william shakespeare, richard andrews, rex gibson classics romance historical poetry classics fantasy <no description>"
126,Dune (Dune Chronicles #1),Frank Herbert,<no description>,Science Fiction,4.19,485032,Classics Fantasy Science Fiction Philosophy,dune (dune chronicles #1) frank herbert science fiction classics fantasy science fiction philosophy <no description>
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,<no description>,Non-Fiction,3.92,490504,Psychology Business Philosophy History Self Help Non-Fiction,the tipping point: how little things can make a big difference malcolm gladwell non-fiction psychology business philosophy history self help non-fiction <no description>
128,Steve Jobs,Walter Isaacson,<no description>,Biography,4.09,560715,Business History Non-Fiction Biography,steve jobs walter isaacson biography business history non-fiction biography <no description>
129,One Flew Over the Cuckoo's Nest,Ken Kesey,<no description>,Classics,4.18,491642,Classics Psychology Historical,one flew over the cuckoo's nest ken kesey classics classics psychology historical <no description>
